photo_date,exp_start,treatment,colony,polyps,age,length_um,calyx_um
2020-05-22,2020-05-10,SD,B2,1,12,2138.133,
2020-05-22,2020-05-10,SD,B2,1,12,1717.569,
2020-05-22,2020-05-10,SD,B2,1,12,1511.475,843.166
2020-05-22,2020-05-10,SD,B4,1,12,1506.192,743.896
2020-05-22,2020-05-10,SD,B4,1,12,1627.702,
2020-05-22,2020-05-10,SD,B4,1,12,1355.990,
2020-05-22,2020-05-10,SD,B5,1,12,1766.312,718.479
2020-05-22,2020-05-10,SS,C2,1,12,2064.397,698.4
2020-05-22,2020-05-10,SS,C3,1,12,2277.910,858.427
2020-05-22,2020-05-10,SS,C6,1,12,1097.661,738.944
2020-05-22,2020-05-10,SS,C6,1,12,2154.445,692.877
2020-05-22,2020-05-10,SS,C6,1,12,2259.907,687.918
2020-05-24,2020-05-10,SD,B2,1,14,2395.299,835.38
2020-05-24,2020-05-10,SD,B2,1,14,2064.758,874.046
2020-05-24,2020-05-10,SD,B2,1,14,2454.121,787.502
2020-05-24,2020-05-10,SD,B2,1,14,1979.381,
2020-05-24,2020-05-10,SD,B2,1,14,1552.552,
2020-05-24,2020-05-10,SD,B4,1,14,1292.081,
2020-05-24,2020-05-10,SD,B4,1,14,1813.148,
2020-05-24,2020-05-10,SD,B5,1,14,2022.158,
2020-05-24,2020-05-10,SS,C2,1,14,2427.678,
2020-05-24,2020-05-10,SS,C2,1,14,2147.536,663.912
2020-05-24,2020-05-10,SS,C3,1,14,1863.640,686.663
2020-05-24,2020-05-10,SS,C5,1,14,2326.459,
2020-05-24,2020-05-10,SS,C6,1,14,1555.625,731.144
2020-05-24,2020-05-10,SS,C6,1,14,2438.200,854.632
2020-06-02,2020-05-10,SS,F5,1,23,2288.993,784.458
2020-06-02,2020-05-10,SS,F5,1,23,3251.406,
2020-06-09,2020-05-10,SD,B2,2,30,1736.136,656.307
2020-06-09,2020-05-10,SD,B4,3,30,1976.431,868.599
2020-06-09,2020-05-10,SD,B4,3,30,2536.087,759.469
2020-06-09,2020-05-10,SD,B4,1,30,1407.294,696.185
2020-06-09,2020-05-10,SS,C3,5,30,3302.452,747.182
2020-06-09,2020-05-10,SS,C4,6,30,2145.446,642.774
2020-06-09,2020-05-10,SS,C6,4,30,2748.959,786.249
2020-06-09,2020-05-10,SS,C6,5,30,3101.036,770.283
2020-06-09,2020-05-10,SS,D3,5,30,2627.961,782.356
2020-06-09,2020-05-10,SS,D5,5,30,2390.378,635.767
2020-06-09,2020-05-10,SS,D6,5,30,2820.777,636.237
2020-06-09,2020-05-10,SD,E5,2,30,1981.077,
2020-06-09,2020-05-10,SD,E5,1,30,1379.990,
2020-06-09,2020-05-10,SS,F1,5,30,2740.905,740.518
2020-06-09,2020-05-10,SS,F4,6,30,3483.137,615.361
2020-06-09,2020-05-10,SD,G3,1,30,872.527,
2020-06-09,2020-05-10,SD,G4,1,30,1109.886,448.637
2020-06-09,2020-06-08,DS,J5,1,1,1233.320,
2020-06-09,2020-06-08,DS,J7,1,1,1489.064,473.112
2020-06-16,2020-06-11,SD,L2,1,5,1966.987,617.541
2020-06-18,2020-06-08,DS,J1,1,10,1353.624,500.119
2020-06-18,2020-06-08,DS,J3,1,10,1623.465,598.111
2020-06-18,2020-06-08,DS,J7,1,10,1594.353,529.688
2020-06-18,2020-06-08,DD,K2,1,10,1399.262,780.216
2020-06-18,2020-06-11,SD,L1,1,7,2009.460,716.41
2020-06-18,2020-06-11,SD,L1,1,7,1964.902,
2020-06-18,2020-06-11,SD,L2,1,7,1985.475,727.336
2020-06-18,2020-06-11,SS,M2,1,7,1543.613,
2020-06-20,2020-06-08,DS,J1,1,12,1600.879,
2020-06-20,2020-06-08,DS,J3,1,12,1620.096,826.61
2020-06-20,2020-06-08,DS,J7,1,12,1565.281,535.247
2020-06-20,2020-06-08,DD,K2,1,12,1381.697,655.248
2020-06-20,2020-06-11,SD,L1,1,9,2041.943,654.69
2020-06-20,2020-06-11,SD,L1,1,9,2043.778,780.795
2020-06-20,2020-06-11,SD,L2,1,9,2005.863,748.02
2020-06-20,2020-06-11,SS,M2,1,9,1364.579,730.127
2020-06-20,2020-06-11,SS,M2,1,9,1730.198,716.076
2020-06-20,2020-06-11,SS,M4,1,9,980.728,
2020-06-22,2020-06-08,DS,J2,1,14,1675.100,527.436
2020-06-22,2020-06-08,DS,J3,1,14,1642.032,811.494
2020-06-22,2020-06-08,DS,J5,1,14,1208.717,467.181
2020-06-22,2020-06-08,DS,J7,1,14,1630.707,521.056
2020-06-22,2020-06-08,DD,K1,1,14,1755.983,644.398
2020-06-22,2020-06-08,DD,K2,1,14,1478.463,557.069
2020-06-22,2020-06-11,SD,L1,1,11,2059.659,705.241
2020-06-22,2020-06-11,SD,L1,1,11,2025.284,697.771
2020-06-22,2020-06-11,SD,L2,1,11,2091.976,726.103
2020-06-22,2020-06-11,SS,M2,1,11,1513.649,621.157
2020-06-22,2020-06-11,SS,M2,1,11,1933.882,714.427
2020-06-22,2020-06-11,SS,M3,1,11,1779.034,668.819
2020-06-24,2020-06-08,DS,J3,1,16,1638.707,729.81
2020-06-24,2020-06-08,DD,K1,1,16,1876.955,822.445
2020-06-24,2020-06-08,DD,K2,1,16,1440.002,538.882
2020-06-24,2020-06-08,DD,K5,1,16,1193.944,
2020-06-24,2020-06-11,SD,L1,1,13,2126.255,543.166
2020-06-24,2020-06-11,SD,L1,1,13,2059.659,625.349
2020-06-24,2020-06-11,SD,L2,1,13,2112.511,691.861
2020-06-24,2020-06-11,SS,M2,1,13,1714.749,587.743
2020-06-24,2020-06-11,SS,M2,1,13,2012.279,654.94
2020-06-24,2020-06-11,SS,M3,1,13,2071.922,696.909
2020-06-24,2020-06-11,SS,N2,1,13,1538.521,
2020-06-24,2020-06-11,SS,N3,1,13,1722.478,
2020-06-25,2020-06-08,DS,J1,1,17,1621.352,595.102
2020-06-25,2020-06-08,DS,J5,1,17,1186.113,
2020-06-25,2020-06-08,DS,J7,1,17,1702.361,553.432
2020-06-25,2020-06-08,DD,K1,1,17,1887.011,786.605
2020-06-25,2020-06-08,DD,K2,1,17,1608.039,583.223
2020-06-25,2020-06-11,SD,L1,1,14,2175.207,699.902
2020-06-25,2020-06-11,SD,L1,1,14,2092.949,
2020-06-25,2020-06-11,SD,L2,1,14,2215.842,
2020-06-25,2020-06-11,SS,M3,1,14,1831.338,778.478
2020-06-25,2020-06-11,SS,M3,1,14,2146.446,748.97
2020-06-25,2020-06-11,SS,M3,1,14,2234.732,
2020-07-01,2020-06-08,DS,J1,1,23,1747.846,585.012
2020-07-01,2020-06-08,DS,J3,1,23,1690.273,688.53
2020-07-01,2020-06-08,DS,J5,1,23,1333.291,621.253
2020-07-01,2020-06-08,DS,J5,1,23,1406.179,
2020-07-01,2020-06-08,DS,J7,1,23,1753.373,519.126
2020-07-01,2020-06-08,DD,K1,5,23,2102.447,715.847
2020-07-01,2020-06-08,DD,K2,3,23,1941.590,615.525
2020-07-01,2020-06-11,SD,L1,5,20,2361.182,672.67
2020-07-01,2020-06-11,SD,L1,2,20,2358.617,726.858
2020-07-01,2020-06-11,SD,L2,3,20,2551.399,808.785
2020-07-01,2020-06-11,SS,M2,1,20,2074.377,686.663
2020-07-01,2020-06-11,SS,M2,2,20,2429.577,749.969
2020-07-01,2020-06-11,SS,M2,1,20,2677.597,725.403
2020-07-01,2020-06-11,SS,N1,1,20,2146.832,835.512
2020-07-01,2020-06-11,SS,N2,1,20,2005.240,919.349
2020-07-01,2020-06-11,SS,N3,1,20,2076.957,699.395
2020-07-01,2020-06-11,SS,N4,1,20,2019.320,740.76
2020-07-01,2020-06-11,SS,N5,1,20,2008.927,830.444
2020-07-01,2020-06-11,SS,N6,1,20,2687.952,736.089
2020-07-01,2020-06-11,SD,O3,1,20,2181.150,835.512
2020-07-01,2020-06-11,SD,O4,1,20,1735.668,847.528
2020-07-01,2020-06-08,DS,Q1,1,23,1257.942,599.707
2020-07-01,2020-06-08,DS,Q3,1,23,1423.962,
2020-07-01,2020-06-08,DD,S3,1,23,1706.462,
2020-07-13,2020-06-08,DS,J1,2,35,1869.311,572.729
2020-07-13,2020-06-08,DS,J3,1,35,1816.710,674.288
2020-07-13,2020-06-08,DS,J5,1,35,1572.881,608.603
2020-07-13,2020-06-08,DD,K1,5,35,2408.947,670.825
2020-07-13,2020-06-08,DD,K2,3,35,1326.545,336.964
2020-07-13,2020-06-11,SD,L1,6,32,2444.873,724.049
2020-07-13,2020-06-11,SD,L1,2,32,2314.768,700.885
2020-07-13,2020-06-11,SD,L2,3,32,1659.832,701.377
2020-07-13,2020-06-11,SS,M3,4,32,2866.524,752.28
2020-07-13,2020-06-11,SS,N1,4,32,2395.659,712.869
2020-07-13,2020-06-11,SS,N6,7,32,3223.157,765.222
2020-07-13,2020-06-11,SD,O3,4,32,2407.858,611.106
2020-07-13,2020-06-11,SD,O4,3,32,2229.008,785.157
2020-07-13,2020-06-08,DS,Q1,2,35,2117.243,632.826
2020-07-13,2020-06-08,DS,Q3,1,35,1817.756,741.062
2020-07-15,2020-06-08,DS,J1,2,37,1835.579,536.48
2020-07-15,2020-06-08,DS,J5,1,37,1702.209,555.237
2020-07-15,2020-06-08,DD,K1,5,37,2408.202,682.524
2020-07-15,2020-06-08,DD,K2,3,37,2322.399,623.717
2020-07-15,2020-06-11,SD,L1,3,34,2300.967,657.381
2020-07-15,2020-06-11,SD,L1,6,34,2312.546,685.879
2020-07-15,2020-06-11,SD,L2,4,34,2646.761,733.025
2020-07-15,2020-06-11,SS,M3,3,34,2228.364,719.14
2020-07-15,2020-06-11,SS,M3,5,34,2533.538,734.46
2020-07-15,2020-06-11,SS,M3,4,34,2756.154,514.141
2020-07-15,2020-06-11,SS,N1,3,34,2295.559,775.595
2020-07-15,2020-06-11,SS,N2,3,34,2883.622,739.726
2020-07-15,2020-06-11,SS,N4,5,34,2373.588,661.885
2020-07-15,2020-06-11,SS,N6,7,34,1913.879,673.85
2020-07-15,2020-06-11,SD,O3,4,34,2499.181,742.245
2020-07-15,2020-06-11,SD,O4,3,34,2357.887,732.592
2020-07-15,2020-06-08,DS,Q1,2,37,2142.958,637.175
2020-07-15,2020-06-08,DS,Q3,1,37,1913.520,734.165
2020-07-15,2020-06-08,DD,S3,1,37,1666.504,
2020-07-19,2020-06-08,DS,J1,1,41,1789.567,444.281
2020-07-19,2020-06-08,DS,J3,1,41,1721.771,701.713
2020-07-19,2020-06-08,DS,J5,1,41,1634.059,569.985
2020-07-19,2020-06-08,DD,K1,5,41,2413.047,698.22
2020-07-19,2020-06-08,DD,K2,4,41,2232.375,613.125
2020-07-19,2020-06-11,SD,L1,6,38,2283.760,724.559
2020-07-19,2020-06-11,SD,L1,3,38,2326.741,654.193
2020-07-19,2020-06-11,SD,L2,4,38,2691.582,753.247
2020-07-19,2020-06-11,SS,M2,5,38,2564.126,776.504
2020-07-19,2020-06-11,SS,M3,4,38,2869.961,680.465
2020-07-19,2020-06-11,SS,N1,4,38,2461.232,791.525
2020-07-19,2020-06-11,SS,N2,3,38,2922.357,819.463
2020-07-19,2020-06-11,SS,N3,3,38,2497.618,742.913
2020-07-19,2020-06-11,SS,N4,4,38,2407.969,694.144
2020-07-19,2020-06-11,SS,N6,7,38,3177.143,740.674
2020-07-19,2020-06-11,SD,O3,4,38,2445.393,791.525
2020-07-19,2020-06-11,SD,O4,4,38,2266.565,687.032
2020-07-19,2020-06-11,SD,O6,1,38,2199.873,572.292
2020-07-19,2020-06-08,DS,Q1,1,41,2380.513,766.124
2020-07-19,2020-06-08,DS,Q3,1,41,2119.230,648.088
2020-07-19,2020-06-11,SS,Z2,5,38,2418.578,658.884
2020-07-19,2020-06-11,SS,Z3,4,38,2943.157,686.336
2020-07-19,2020-06-11,SS,Z6,6,38,3365.017,648.048
2020-07-21,2020-06-08,DS,J1,2,43,1700.992,480.393
2020-07-21,2020-06-08,DS,J5,1,43,1688.684,705.109
2020-07-21,2020-06-08,DD,K1,4,43,2281.856,599.924
2020-07-21,2020-06-08,DD,K2,5,43,2454.827,691.305
2020-07-21,2020-06-11,SD,L1,6,40,3203.387,633.244
2020-07-21,2020-06-11,SD,L1,3,40,2404.538,789.597
2020-07-21,2020-06-11,SD,L2,4,40,2753.533,829.495
2020-07-21,2020-06-11,SS,M2,3,40,2228.966,680.569
2020-07-21,2020-06-11,SS,M2,4,40,2823.76,703.17
2020-07-21,2020-06-11,SS,M2,5,40,2543.48,
2020-07-21,2020-06-11,SS,N1,4,40,2407.728,731.853
2020-07-21,2020-06-11,SS,N2,4,40,2431.827,713.748
2020-07-21,2020-06-11,SS,N2,3,40,2883.459,
2020-07-21,2020-06-11,SS,N6,7,40,3435.035,774.415
2020-07-21,2020-06-11,SD,O3,4,40,2527.938,826.754
2020-07-21,2020-06-11,SD,O4,4,40,2349.355,745.822
2020-07-21,2020-06-11,SD,O6,3,40,2207.559,641.89
2020-07-21,2020-06-08,DS,Q1,3,43,2564.215,615.149
2020-07-21,2020-06-08,DS,Q3,1,43,2210.826,733.137
2020-07-21,2020-06-11,SS,Z1,5,40,2500.585,713.722
2020-07-21,2020-06-11,SS,Z3,4,40,3064.524,726.591
2020-07-21,2020-06-11,SS,Z5,2,40,1956.634,631.786
2020-07-21,2020-06-11,SS,Z6,7,40,3400.421,694.183
2020-07-23,2020-06-08,DS,J1,1,45,1710.116,471.468
2020-07-23,2020-06-08,DS,J3,1,45,1839.777,677.706
2020-07-23,2020-06-08,DS,J5,1,45,1678.445,597.73
2020-07-23,2020-06-08,DD,K1,5,45,2304.121,695.783
2020-07-23,2020-06-08,DD,K2,4,45,2339.035,565.31
2020-07-23,2020-06-11,SD,L1,6,42,3181.343,627.881
2020-07-23,2020-06-11,SD,L1,3,42,2356.527,626.875
2020-07-23,2020-06-11,SD,L2,4,42,2759.166,687.872
2020-07-23,2020-06-11,SS,M2,5,42,2285.357,733.631
2020-07-23,2020-06-11,SS,N1,1,42,2298.873,711.144
2020-07-23,2020-06-11,SS,N2,3,42,2437.561,666.605
2020-07-23,2020-06-11,SS,N2,4,42,3004.387,787.35
2020-07-23,2020-06-11,SS,N6,7,42,3327.848,839.438
2020-07-23,2020-06-08,DS,Q1,3,45,2568.176,622.333
2020-07-23,2020-06-08,DS,Q3,1,45,1967.124,696.909
2020-07-23,2020-06-11,SS,Z2,5,42,2479.983,
2020-07-23,2020-06-11,SS,Z2,5,42,2393.983,
2020-07-23,2020-06-11,SS,Z3,5,42,2900.224,729.636
2020-07-23,2020-06-11,SS,Z4,3,42,1933.581,582.012
2020-07-23,2020-06-11,SS,Z5,3,42,1968.481,512.264
2020-07-23,2020-06-11,SS,Z6,7,42,3418.756,733.972
2020-08-02,2020-06-08,DS,J1,3,55,1923.935,520.275
2020-08-02,2020-06-08,DS,J5,1,55,2633.865,
2020-08-02,2020-06-08,DD,K1,5,55,2459.281,615.197
2020-08-02,2020-06-08,DD,K2,4,55,2228.775,554.719
2020-08-02,2020-06-11,SD,L1,6,52,3320.437,651.013
2020-08-02,2020-06-11,SD,L1,3,52,2435.99,692.896
2020-08-02,2020-06-11,SD,L2,4,52,2784.681,799.609
2020-08-02,2020-06-11,SS,M2,2,52,2407.743,694.253
2020-08-02,2020-06-11,SS,M2,5,52,2552.519,786.605
2020-08-02,2020-06-11,SS,N1,5,52,2779.419,662.674
2020-08-02,2020-06-11,SS,N2,4,52,2537.846,687.83
2020-08-02,2020-06-11,SS,N2,3,52,2803.036,823.602
2020-08-02,2020-06-11,SS,N6,7,52,3378.689,780.866
2020-08-02,2020-06-11,SD,O3,6,52,2490.038,809.892
2020-08-02,2020-06-11,SD,O4,4,52,2450.186,715.461
2020-08-02,2020-06-11,SD,O6,3,52,2083.804,659.155
2020-08-02,2020-06-08,DS,Q1,3,55,2543.508,627.684
2020-08-02,2020-06-08,DS,Q3,1,55,1976.087,658.674
2020-08-02,2020-06-11,SS,V2,4,52,2340.32,689.332
2020-08-02,2020-06-11,SS,V3,2,52,2090.099,600.179
2020-08-02,2020-06-11,SS,V6,5,52,2687.509,839.456
2020-08-02,2020-06-11,SD,Y2,3,52,2343.409,692.853
2020-08-02,2020-06-11,SD,Y3,3,52,2104.792,655.123
2020-08-02,2020-06-11,SS,Z1,5,52,3145.596,791.657
2020-08-02,2020-06-11,SS,Z2,5,52,2510.645,706.019
2020-08-02,2020-06-11,SS,Z3,4,52,3173.824,643.424
2020-08-02,2020-06-11,SS,Z3,3,52,2497.064,
2020-08-02,2020-06-11,SS,Z4,5,52,3114.938,705.77
2020-08-02,2020-06-11,SS,Z5,3,52,2263.568,
2020-08-02,2020-06-11,SS,Z6,7,52,3432.419,730.204
